Nombre,Ubicacion,Salario,Habilidades Clave,Formacion,Experiencia,Modalidad,Url,Descripcion
Disenador ui ux - 6 meses,Bogota,Salario a convenir,"full stack
                                        
                                            desarrollador
                                        
                                            programador
                                        
                                            Frontend
                                        
                                            Backend
                                        
                                    Disenador UI/UX",Universitaria,"4 anos de experiencia
        
          Contrato Definido
        1886368549",None,/co/ofertas-trabajo/disenador-ui-ux-6-meses-1886368549,"En ADL compania 100% digital estamos en busqueda de nuestro proximo Disenador UI / UX. Profesional en Diseno Grafico, Diseno Industrial, Diseno de Interaccion, Diseno de Producto, Ingenieria Informatica o un campo relacionados. (Se valoraran estudios adicionales en Diseno de UX/UI, Diseno UX, innovacion Desarrollo Web o cursos relacionados). Con 6 anos de experiencia trabajando con metodologias agiles y trabajo en sprints, manejando analisis de embudos de conversion, implementacion y monitoreo de metricas de experiencia del usuario (SUS, CSAT, NPS, CES, PQRS, CHURN, CR),  liderazgo de talleres de ideacion con stakeholders, propuestas de evoluciones de producto basadas en datos y su impacto en el negocio. Experiencia en la aplicacion de metodologias de diseno como: design thinking, doble diamante o service design. API - REST EXCLUYENTE)Contrato inicialmente por 6 meses Excelentes beneficios.
        

        
                Profesional
            
                Universitaria
            Diseno graficoDiseno industrialIngenieria de sistemas  ComputacionIngenieria de diseno de producto4 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Disenador ui ux,Bogota,Salario a convenir,"full stack
                                        
                                            desarrollador
                                        
                                            programador
                                        
                                            Frontend
                                        
                                            Backend
                                        
                                    Disenador UI/UX",Universitaria,"5 anos de experiencia
        
          Contrato Definido
        1886247823",None,/co/ofertas-trabajo/disenador-ui-ux-1886247823,"En ADL compania 100% digital estamos en busqueda de nuestro proximo Disenador UI / UX. Profesional en Diseno Grafico, Diseno Industrial, Diseno de Interaccion, Diseno de Producto, Ingenieria Informatica o un campo relacionados. (Se valoraran estudios adicionales en Diseno de UX/UI, Diseno UX, innovacion Desarrollo Web o cursos relacionados). Con 5 anos de experiencia trabajando con metodologias agiles y trabajo en sprints, manejando analisis de embudos de conversion, implementacion y monitoreo de metricas de experiencia del usuario (SUS, CSAT, NPS, CES, PQRS, CHURN, CR),  liderazgo de talleres de ideacion con stakeholders, propuestas de evoluciones de producto basadas en datos y su impacto en el negocio. Experiencia en la aplicacion de metodologias de diseno como: design thinking, doble diamante o service design. API - REST EXCLUYENTE)Contrato inicialmente por 6 meses. Excelentes beneficios.
        

        
                Profesional
            
                Universitaria
            Diseno graficoDiseno industrialIngenieria de sistemas  ComputacionIngenieria de diseno de producto5 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Disenador ui ux - indefinido,Bogota,Salario a convenir,"full stack
                                        
                                            desarrollador
                                        
                                            programador
                                        
                                            Frontend
                                        
                                            Backend
                                        
                                    Disenador UI/UX",Universitaria,"4 anos de experiencia
        
          Contrato Definido
        1886364442",None,/co/ofertas-trabajo/disenador-ui-ux-indefinido-1886364442,"En ADL compania 100% digital estamos en busqueda de nuestro proximo Disenador UI / UX. Profesional en Diseno Grafico, Diseno Industrial, Diseno de Interaccion, Diseno de Producto, Ingenieria Informatica o un campo relacionados. (Se valoraran estudios adicionales en Diseno de UX/UI, Diseno UX, innovacion Desarrollo Web o cursos relacionados). Con 6 anos de experiencia trabajando con metodologias agiles y trabajo en sprints, manejando analisis de embudos de conversion, implementacion y monitoreo de metricas de experiencia del usuario (SUS, CSAT, NPS, CES, PQRS, CHURN, CR),  liderazgo de talleres de ideacion con stakeholders, propuestas de evoluciones de producto basadas en datos y su impacto en el negocio. Experiencia en la aplicacion de metodologias de diseno como: design thinking, doble diamante o service design. API - REST EXCLUYENTE)Excelentes beneficios.
        

        
                Profesional
            
                Universitaria
            Diseno graficoDiseno industrialIngenieria de sistemas  ComputacionIngenieria de diseno de producto4 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Web master,Remoto,"$3,5 a $4 millones","Desarrollador web
                                        
                                            web master
                                        
                                            Desarrollador de pagina web
                                        
                                    Disenador Web
                                
                                    Desarrollador Web
                                
                                    Administrador sitios Web (Webmaster)",Tecnico Laboral,"1 ano de experiencia
        
          Contrato Por obra o labor
        1886382914",None,/co/ofertas-trabajo/web-master-1886382914,"Importante empresa requiere para su equipo de trabajo Web Master, debe ser tecnico o profesional en sistemas, Ingenieria de sistemas o carreras afines. Debe tener experiencia minima de 1 ano en la administracion de VTEX IO. Su objetivo sera gestionar, controlar, administrar y garantizar las operaciones de la plataforma e-commerce  y la navegacion general del canal.Se requieren los siguientes conocimientos (Excluyentes) Dominio avanzado de Excel (tablas dinamicas, macros, analisis de datos).Experiencia en la administracion de VTEX, incluyendo:Carga y gestion de productos.Configuracion del modulo de promociones.Gestion de pasarelas de pago y transportadoras.Configuracion y uso de triggers.Maquetacion basica dentro de la plataforma.Nociones basicas en desarrollo web (HTML, CSS, JavaScript).Familiaridad con bases de datos SQL.Conocimiento basico de sistemas y arquitectura tecnologica.Horario: Lunes a viernes - Home Office
        

        
                Profesional
            
                Tecnico Laboral
            Ingenieria de sistemas  ComputacionTecn Sistemas  ComputacionAdministracion de sistemas informaticosTecnologia En Desarrollo De Sistemas Informaticos1 ano de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador full stack,Remoto,Salario a convenir,"desarrollador
                                        
                                            programacion de desarrollo
                                        
                                            programador
                                        
                                            desarrollador Full stack
                                        
                                            Proyectos tecnologicos
                                        
                                            desarrollador software
                                        
                                            php
                                        
                                            Angular
                                        
                                            Phyton
                                        
                                            Node JS
                                        
                                    Desarrollador de software
                                
                                    Desarrollador full stack
                                
                                    Analista de desarrollo de software",Formacion Tec profesional,"3 anos de experiencia
        
          Contrato Prestacion de Servicios
        1886383564",None,/co/ofertas-trabajo/desarrollador-full-stack-1886383564,"Requerimos:- Profesional o Tecnologo en tecnologia, ingenieria de sistemas, software, informatica o carreras afines.- 4 a 5 anos de experiencia en Python, Node JS, React, PHP 7.0 o superior, Angular.- Deseable experiencia en el desarrollo de plataformas de gestion de nomina y compensacion salarial.- Capacidad de trabajar proyectos simultaneos/Paralelos.-  Experiencia en soporte y desarrollo de Software y herramientas tecnologicas.- Conocimiento y capacidad para realizar desarrollo por flujos de trabajo y analitica de datos.Te ofrecemos:- Modalidad de trabajo Remoto.- Contrato por prestacion de servicios.- Honorarios de $4.000.000 a $5.000.000 segun experiencia.
        

        
                Profesional
            
                Formacion Tec profesional
            Ingenieria de sistemas  ComputacionTecn Sistemas  ComputacionTecnologia En Desarrollo De Sistemas InformaticosIngenierìa De SoftwareTecnologo en Sistemas3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Ingeniero desarrollo semi senior,Bogota,"$4 a $4,5 millones","JAVA
                                        
                                            Developer
                                        
                                            Fullsteck
                                        
                                            Senior
                                        
                                            Desarrollador
                                        
                                            Angular
                                        
                                            SpringBoot
                                        
                                    Desarrollador
                                
                                    Desarrollador de software
                                
                                    Desarrollador full stack
                                
                                    Desarrollador Web
                                
                                    Ingeniero de desarrollo",Universitaria,"3 anos de experiencia
        
          Contrato Indefinido
        1886377355",None,/co/ofertas-trabajo/ingeniero-desarrollo-semi-senior-1886377355,"Nuestro proposito es transformar paradigmas con pasion, esfuerzo y determinacion. Nos enorgullece estar comprometidos con el trabajo etico incansable para generar un impacto positivo. Somos un grupo empresarial enfocado en el cuidado y bienestar de todos nuestros colaboradores, buscamos fomentar el crecimiento sostenible y la creacion de valor con una orientacion firmemente establecida en el liderazgo, la integridad, la responsabilidad y la vision estrategica.Requisitos-Formacion: Profesional en carreras Ingenieria de sistemas o afines-Experiencia de tres (3) anos de experiencia en desarrollo de software, experiencia demostrada en desarrollo full-stack, trabajando con tecnologias front-end y/o back-end,, con experiencia en tutoria y orientacion de un equipo de desarrollo, experiencia en lenguajes como:Back-End: PL/SQL, Java con framework, SpringBoot , Maven o Gradle, MicroserviciosFront-End: Angular en version 17 o superior preferiblemente en IONIC, hojas de estilo CSS, Tailwind CSS				Ofrecemos -Contrato a termino indefinido directo con la compania.-Horario Lunes a viernes de 7:00am a 5:15pm (Alternancia)-Salario: a convenir-Beneficios de la Compania.
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria electronicaIngenieria mecatronicaIngenierìa De Software3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador de software,Bogota,Salario a convenir,"SDK D365
                                        
                                            SDKore
                                        
                                            Dynamics 365 CE
                                        
                                            Power Plataform
                                        
                                            DDD (Domain Driven Desing)
                                        
                                            Power Automate
                                        
                                            Power Apps
                                        
                                    Ingeniero de software
                                
                                    Desarrollador de software
                                
                                    Desarrollador full stack
                                
                                    Ingeniero de sistemas
                                
                                    Programador",Universitaria,"3 anos de experiencia
        
          Contrato Indefinido
        1886386426",None,/co/ofertas-trabajo/desarrollador-de-software-1886386426,"Descubre una oportunidad unica Estamos en la busqueda de un Desarrollador de Software. Listo para desafiar tus habilidades y crecer profesionalmente Postulate ahora mismoTitulo universitario en Ingenieria de Sistemas o carreras afines (preferiblemente maestria) con mas de tres (3) anos de experiencia como desarrollador front-end, minimo 2 anos de experiencia practica en desarrollo con Angular, es imprescindible tener dominio de HTML5, CSS3, JavaScript (ES6+) y Type Script, solido conocimiento de marco Angular y la arquitectura basada en componentes, conocimiento con los principios y marcos de diseno responsivo como Bootstrap o Material Design, experiencia con bibliotecas de administracion de estados (por ejemplo, NgRx o RxJS).Si cumples con los requisitos y estas buscando un nuevo desafio en tu carrera profesional, esta es tu oportunidad
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria mecatronicaTecnico en desarrollo y mantenimiento de softwareIngenierìa De SoftwareTecnologo en Sistemas3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador delphi,Bogota,"$2,5 a $3 millones","Software
                                        
                                            ingenieria
                                        
                                            desarrollador
                                        
                                    Desarrollador
                                
                                    Ingeniero de software
                                
                                    Ingeniero de sistemas",Universitaria,"2 anos de experiencia
        
          Contrato Indefinido
        1886374921",None,/co/ofertas-trabajo/desarrollador-delphi-1886374921,"En Quality Software estamos buscando un desarrollador con experiencia en Delphi para unirse a nuestro equipo dinamico y en constante crecimiento.Responsabilidades:- Disenar y desarrollar aplicaciones robustas y escalables utilizando Delphi (Object Pascal).- Optimizar sistemas existentes y modernizar aplicaciones heredadas.- Implementar y mantener integraciones con APIs (REST/SOAP) y servicios web.- Gestionar y trabajar con bases de datos relacionales como SQL Server.- Colaborar en un entorno agil y multidisciplinario para crear soluciones innovadoras.Requisitos- Experiencia comprobable en desarrollo con Delphi (minimo 2-3 anos).- Conocimientos solidos en bases de datos y optimizacion de consultas SQL.- Habilidades para el trabajo en equipo, enfoque en resultados y disposicion para aprender continuamente.
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionTecnico en desarrollo y mantenimiento de softwareIngenierìa De Software2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador fullstack,Remoto,Salario a convenir,"TypeScript
                                        
                                            JavaScript
                                        
                                            
                                        
                                            Node.js
                                        
                                            NestJS
                                        
                                            Express.js
                                        
                                            Redux
                                        
                                            HTML5
                                        
                                            CSS3
                                        
                                    Desarrollador
                                
                                    Ingeniero de software
                                
                                    Desarrollador de software
                                
                                    Desarrollador Web",Universitaria,"2 anos de experiencia
        
          Contrato Indefinido
        1886379569",None,/co/ofertas-trabajo/desarrollador-fullstack-1886379569,"Estamos en busqueda de un Desarrollador FullStack Que esperas para unirte a un equipo dinamico y en constante crecimiento Esta es tu oportunidad Requisitos: •	Profesional en Ingenieria de Sistemas o carreras afines •	Certificacion de Scrum Master (Deseable)•	Minimo 2 anos en el Desarrollo de nuevas funcionalidades tanto en la capa de front-end como en el back-end utilizando TypeScript •	Manejo de lenguajes de programacion y frameworks como JavaScript, Node.js, NestJS o Express.js, Redux, HTML5, CSS3•	Manejo de bases de datos como PostgreSQL, MongoDB o MySQL•	Experiencia en desarrollo de APIs RESTful y/o GraphQL •	Experiencia avanzada con GIT
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria electronicaIngenieria mecatronicaIngenierìa De Software2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador quarkus,Remoto,$8 a $10 millones,"AWS
                                        
                                            QUARKUS
                                        
                                            AZURE
                                        
                                            KUBERNETES
                                        
                                    Desarrollador
                                
                                    Ingeniero de sistemas",Universitaria,"2 anos de experiencia
        
          Contrato Indefinido
        1886386345",None,/co/ofertas-trabajo/desarrollador-quarkus-1886386345,"En TeChrea Estamos en busqueda de talentos excepcionales como tu para la vacante de Desarrollador Quarkus que quieran innovar y crecer con nosotrosRequerimientos:Experiencia de 2 a 4 anos en desarrollo QUARKUS.Manejo de Herramientas:*AWS*AZURE*KUBERNETES.Beneficios: •	Trabajo 100% remoto•	Contrato Indefinido•	Excelente Ambiente Laboral•	Escuela de formacion interna•	Servicio de medicina domiciliaria•	Salarios CompetitivosEntre otros.Aplica y se parte de esta gran familia
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  ComputacionTecnologia En Desarrollo De Sistemas Informaticos2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador frontend,Remoto,"$4 a $4,5 millones","TypeScript
                                        
                                            React
                                        
                                            desarrolladores backend
                                        
                                            HTTP
                                        
                                    Desarrollador
                                
                                    Desarrollador frontend",Universitaria,"2 anos de experiencia
        
          Contrato Por obra o labor
        1886383441",None,/co/ofertas-trabajo/desarrollador-frontend-1886383441,"Estamos en busca de talento Frontend para un emocionante proyecto de innovacionEn nuestra empresa, estamos comprometidos con la creacion de soluciones tecnologicas de vanguardia, y buscamos un Desarrollador Frontend apasionado por transformar ideas en interfaces atractivas y funcionales. Si tienes experiencia en tecnologias modernas y disfrutas colaborando en equipo para enfrentar desafios tecnicos, esta es tu oportunidad.Que buscamosUn Desarrollador Frontend con experiencia en la creacion de interfaces de usuario modernas y de alto rendimiento, que desempenara un rol clave en el desarrollo de una aplicacion de procesamiento de informacion geografica.Requisitos clave:Experiencia: 2 a 3 anos en desarrollo frontend.Dominio de tecnologias:React: Construccion de interfaces dinamicas y reutilizables.TypeScript: Para garantizar un codigo robusto y escalable.Vite: Desarrollo y empaquetado rapido y eficiente.Axios: Manejo eficiente de solicitudes HTTP.Habilidades adicionales:Experiencia en pruebas unitarias y depuracion.Buenas practicas de desarrollo y organizacion de codigo.Responsabilidades:Desarrollo de interfaz: Implementar disenos en interfaces funcionales usando React y TypeScript.Optimizacion: Asegurar que la aplicacion sea rapida, responsiva y eficiente.Colaboracion: Trabajar con disenadores y desarrolladores backend para garantizar una integracion fluida.Mantenimiento: Actualizar y mejorar el codigo existente, manteniendo altos estandares de calidad.Pruebas: Realizar pruebas unitarias para garantizar la estabilidad de la aplicacion.Detalles del puesto:Salario: $4,412,000 COP + auxilio de conectividad $126,500 COP.Tipo de contrato: Obra labor.Horarios: Lunes a viernes, de 7:30 a.m. a 5:30 p.m.Ubicacion: Remoto, preferiblemente en Medellin.Lo que ofrecemos:Crecimiento profesional: Trabajaras en un proyecto innovador con tecnologias de punta.Ambiente colaborativo: Equipo de trabajo dinamico y comprometido.Flexibilidad: Modalidad remota para facilitar tu balance entre vida y trabajo.
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionTecnico en desarrollo y mantenimiento de softwareTecnologia En Desarrollo De Sistemas InformaticosIngenierìa De Software2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador python,Remoto,"$5,5 a $6 millones","automatizacion
                                        
                                            power apps
                                        
                                            RPA
                                        
                                            INNOVACION
                                        
                                            DESARROLLADOR
                                        
                                            LIDER TECNICO
                                        
                                    Desarrollador
                                
                                    Ingeniero de automatizacion
                                
                                    Desarrollador de software",Universitaria,"4 anos de experiencia
        
          Contrato Indefinido
        1886380902",None,/co/ofertas-trabajo/desarrollador-python-1886380902,"Si eres ingeniero de sistemas o con carreras afines, cuentas con experiencia de 4 anos en procesos de automatizacion e innovacion, estandarizacion y programacion en herramientas de power app - power bi, asi como rocketbot (RPA) y Python  Encontraste el lugar indicado
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria de redes y telecomunicacionesAdministracion de sistemas informaticos4 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador de software,Medellin,Salario a convenir,"desarrollo de software
                                        
                                            orientacion al logro
                                        
                                            orientacion al cliente
                                        
                                            trabajo en equipo
                                        
                                            pensamiento analitico
                                        
                                            pensamiento innovador
                                        
                                            metodologias agiles
                                        
                                            gestion del tiempo
                                        
                                            disposicion y empeno
                                        
                                            recursividad
                                        
                                    Desarrollador de software",Universitaria,"2 anos de experiencia
        
          Contrato Indefinido
        1886376688",None,/co/ofertas-trabajo/desarrollador-de-software-1886376688,"Desarrollador – Enfoque en desarrolloImportante empresa del sector servicios, enfocada en Desarrollo de software, Seguridad y Salud en el Trabajo y Seleccion, ubicada en la ciudad de Medellin, requiere para fortalecer su equipo de trabajo Desarrollador, con formacion en Ingenieria de sistemas, Ingenieria informatica, Ingeniero desarrollador, Ingeniero de software.Debe contar con una experiencia certificada minima de 2 anos en el desarrollo de aplicaciones web con lenguaje PHP (framework Laravel), JavaScript, HTML, CSS y manejo de git, para versionamiento de codigo, conocimientos y manejo, creacion y estructuracion de bases de datos (MySQL, SQL)Mision del Cargo:Crear herramientas tecnologicas de software que permitan suplir las necesidades o demandas del cliente y los requerimientos tecnologicos al interior de la empresa. Proveer para la compania, soluciones de desarrollo acordes a las necesidades actuales y futuras de la misma, garantizar que las soluciones entregadas a los usuarios esten a la altura de las grandes companias del mundo.Conocimientos en:•	Desarrollo en entorno web•	Lenguajes de programacion PHP, SQL•	Framework Laravel•	API Rest•	Lenguaje HTML•	Hojas de estilo CSS•	Logica en programacion•	Administracion y manejo de bases de datos (MySQL, SQL)•	Sistema operativos Windows y Linux•	Vue.js o frameworks similares•	GIT•	JavaScript, JQueryOpcional:•	Dockerizacion•	Kubernetes•	Node jsTerminos de Contratacion:Contrato laboral con todas las prestaciones sociales y otros beneficios de la empresa.Tipo de contrato: Termino indefinidoSalario: A convenir de acuerdo a experiencia y formacionHorarios: lunes a viernes de 7:30 am - 5:30 pm (Inicialmente presencial con cambio a hibrido segun curva de aprendizaje)Lugar de servicio: area metropolitana Medellin
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenierìa De Software2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador cobol,Bogota,Salario a convenir,"desarrolladores
                                        
                                            programacion de desarrollo
                                        
                                    Desarrollador
                                
                                    Ingeniero de software
                                
                                    Ingeniero senior
                                
                                    Desarrollador de software",Tecnologica,"4 anos de experiencia
        
          Contrato Indefinido
        1886382394",None,/co/ofertas-trabajo/desarrollador-cobol-1886382394,"En Novatec estamos en busqueda de profesional en Ingenieria de Sistemas, Software o carreras afinesExperiencia de 4 anos en Desarrollo host/cobol, con manejo de DB2 Altamira, Batch, Transacciones Online. Experiencia en Modulos como: Medios de pagoContabilidadCargos y abonosPrestamosQue ofrecemos:* Bonos por antiguedad* Apoyo economico para estudio* Prestamos por parte de la empresa de libre inversion con 0% de interes* Beneficios por desempeno laboral anualmente* Contrato indefinido* Salario para convenir* Horario de lunes a viernes Unete a nosotros y se parte de Novatec que esta construyendo un futuro mas inclusivo y equitativo
        

        
                Profesional
            
                Tecnologica
            Ingenieria de sistemas  ComputacionIngenieria industrialIngenieria electronicaIngenieria mecatronicaIngenierìa De Software4 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador de software,Medellin,Salario a convenir,"Soporte
                                        
                                            orientacion al logro
                                        
                                            orientacion al cliente
                                        
                                            ANS
                                        
                                            PHP Puro
                                        
                                            Trabajo en equipo
                                        
                                            Pensamiento analitico
                                        
                                            Documentacion de Software
                                        
                                            Desarrollo de software
                                        
                                            Tecnologia
                                        
                                    Desarrollador
                                
                                    Lider de soporte y mesa de ayuda   ",Universitaria,"2 anos de experiencia
        
          Contrato Indefinido
        1886376663",None,/co/ofertas-trabajo/desarrollador-de-software-1886376663,"Desarrollador – con enfoque en soporteImportante empresa del sector servicios, que trabaja en Desarrollo de software, Seguridad y Salud en el Trabajo y Seleccion, ubicada en la ciudad de Medellin, requiere Desarrollador, con formacion en Ingenieria de sistemas, Ingenieria informatica, Ingenieria de software, para fortalecer su equipo de trabajo.Debe contar con una experiencia certificada minima de 2 anos en el SOPORTE de aplicaciones web con lenguaje PHP PURO, con conocimiento, manejo, creacion y estructuracion de bases de datos (MySQL, SQL).Mision del Cargo:Soportar herramientas tecnologicas de software que permitan suplir las necesidades o demandas del cliente y los requerimientos al interior de la empresa. Proveer para la compania, soporte en soluciones de desarrollo acordes a las necesidades actuales y futuras de la misma, garantizar que las soluciones entregadas a los usuarios esten a la altura de las grandes companias del mundo.Conocimientos en:• Soporte de Desarrollos en entorno web• Lenguajes de programacion PHP, SQL• API Rest• Lenguaje HTML• Hojas de estilo CSS• Logica en programacion• Administracion y manejo de bases de datos (MySQL, SQL)• Sistemas operativos Windows y Linux• JavaScript, JQueryOpcional:• Dockerizacion• Kubernetes• Node jsTerminos de Contratacion:Contrato laboral con todas las prestaciones sociales y otros beneficios de la empresa.Tipo de contrato: Termino indefinidoSalario: A convenir de acuerdo a experiencia y formacionHorarios: lunes a viernes de 7:30 am - 5:30 pm (inicialmente presencial con posibilidad de cambio a modalidad hibrida de acuerdo a la curva de aprendizaje)Lugar de servicio: Medellin
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenierìa De Software2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador de negocios,Bogota,$6 a $8 millones,"seguros
                                        
                                            desarrollador de negocios
                                        
                                            apertura de mercados
                                        
                                            corredores
                                        
                                    Desarrollador",Universitaria,"5 anos de experiencia
        
          Contrato Indefinido
        1886385405",None,/co/ofertas-trabajo/desarrollador-de-negocios-1886385405,"Eres un lider visionario con pasion por el desarrollo estrategico de negocios y relaciones corporativas Buscamos un Desarrollador de Negocios. Si eres profesional con experiencia de 4 a 8 anos en desarrollo de negocios, relaciones corporativas o gestion comercial en el sector asegurador o bancario. Esta oportunidad es para ti.Tendras el reto de impulsar el crecimiento sostenible y la apertura de aliados estrategicos e identificar nuevas oportunidades de mercado en Colombia, en sectores como Insurtech y Fintech,  ademas optimizar el uso de herramientas como Salesforce. Trabajaras en equipo para fortalecer nuestra red de intermediacion y generar valor en cada interaccion con nuestros clientes y aliados estrategicos.REQUISITOS:Experiencia comercial de 5 anos en adelante en la apertura de mercado en el sector asegurador o bancario.           Dominio de herramientas ofimaticas y gusto por el marketing digital.SALARIO:Confidencial  componente fijo + variable.TIPO DE CONTRATO:Indefinido.MODALIDAD: Remoto (opcional).
        

        
                Coordinador supervisor o especialista
            
                Universitaria
            EconomiaIngenieria industrialAdministracion de empresasAdministracion de negocios5 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador vtex,Bogota,Salario a convenir,"react
                                        
                                            vtex
                                        
                                            Angular
                                        
                                            node js
                                        
                                            php
                                        
                                            Sql
                                        
                                    Desarrollador",Universitaria,"1 ano de experiencia
        
          Contrato Indefinido
        1886384922",None,/co/ofertas-trabajo/desarrollador-vtex-1886384922,"Importante Compania se encuentra en la busqueda de  profesional de ingeniera de sistemas con 3 anos  de experiencia como  Desarrollador  Full Stack*React o Angular *Html*Css*PHP o Node js * API*Vtex (Mandatorio)*Conocimientos en metodologias agiles.Ciudad : Bogota D, C Modalidad :  Presencial  lunes a Viernes Contrato : Indefinido Salario : A convenir
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  Computacion1 ano de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Desarrollador cobol-hibrido medellin,Bogota,$6 a $8 millones,"Desarrollador Cobol-AS400
                                        
                                    Desarrollador backend
                                
                                    Analista de desarrollo de software",Universitaria,"3 anos de experiencia
        
          Contrato Indefinido
        1886383280",None,/co/ofertas-trabajo/desarrollador-cobolhibrido-medellin-1886383280,"Unete al mejor equipo de trabajo En CINTE Colombia buscamos Desarrollador Cobol-AS400 Ingeniero de Sistemas o afines, con experiencia minima de 3 anos en desarrollo  con lenguajes de programacion como Cobol - front, Manejo de Base de Datos (DB2 o SQL ), que pueda desenvolverse en proyectos hibridos.Ciudad: Medellin Hibrido Contacto: *******@**********.***
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria electronicaIngenieria de telecomunicacionesIngenieria telematicaIngenierìa De Software3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
